URL,Title,Price_Raw,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État
https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Ford_Fusion_TITANIUM_180_BVA_Diesel_2019_55450835.htm,Ford Fusion TITANIUM 180 BVA Diesel 2019,212 000 DH,2019,Automatique,Diesel,95000,Ford,Fusion,5,WW au Maroc,Oui,8 CV,Très bon
https://www.avito.ma/fr/route_ain_chkaf/voitures_d_occasion/Renault_Clio_4_lemited_Automatique_2021_%C3%A0_F%C3%A8s_57283978.htm,Renault Clio 4 lemited Automatique 2021 à Fès,142 000 DH,2021,Automatique,Diesel,85000,Renault,Clio,5,WW au Maroc,Oui,6 CV,Excellent
https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Skoda_Octavia_57317746.htm,Skoda Octavia,185 000 DH,2017,Automatique,Diesel,150000,Skoda,Octavia,5,WW au Maroc,Oui,8 CV,Très bon
https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Ford_Fiesta_2016_Diesel_57326483.htm,Ford Fiesta 2016 Diesel,105 000 DH,2016,Manuelle,Diesel,273000,Ford,Fiesta,5,WW au Maroc,Oui,6 CV,Très bon
https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Citro%C3%ABn_C_5_automatique_57281487.htm,Citroën C 5 automatique,97 000 DH,2012,Automatique,Diesel,180000,Citroën,C5,5,WW au Maroc,Non,8 CV,Excellent
https://www.avito.ma/fr/al_maghrib_al_arabi/voitures_d_occasion/Dokker_sbart_dar_complet_57300248.htm,Dokker sbart dar complet,112 000 DH,2016,Manuelle,Diesel,160000,Dacia,Dokker,5,WW au Maroc,Non,6 CV,Excellent
https://www.avito.ma/fr/a%C3%AFn_chock/voitures_d_occasion/Ford_Kuga_2017_57300211.htm,Ford Kuga 2017,157 000 DH,2017,Manuelle,Diesel,150000,Ford,Kuga,,,Non,8 CV,
https://www.avito.ma/fr/oued_zem/voitures_d_occasion/Ford_Kuga_Trend_Plus_57269967.htm,Ford Kuga Trend Plus,225 000 DH,2021,Automatique,Diesel,170000,Ford,Kuga,5,WW au Maroc,Non,6 CV,Excellent
https://www.avito.ma/fr/route_d_immouzere/voitures_d_occasion/Volkswagen_Tiguan_R_LIGNE_DED_24_57254372.htm,Volkswagen Tiguan R LIGNE DED 24,419 000 DH,2021,Automatique,Diesel,140000,Volkswagen,Tiguan,5,Dédouanée,Oui,8 CV,Neuf
https://www.avito.ma/fr/oulfa/voitures_d_occasion/Renault_Kangoo_Diesel_Manuelle_2018_%C3%A0_Casablanca_57336349.htm,Renault Kangoo Diesel Manuelle 2018 à Casablanca,130 000 DH,2018,Manuelle,Diesel,107000,Renault,Kangoo,5,WW au Maroc,Non,6 CV,Excellent
https://www.avito.ma/fr/route_d_immouzere/voitures_d_occasion/Seat_Leon_Diesel_Manuelle_2011_%C3%A0_F%C3%A8s_57336331.htm,Seat Leon Diesel Manuelle 2011 à Fès,105 000 DH,2011,Manuelle,Diesel,155000,Seat,Leon,5,WW au Maroc,Oui,6 CV,Très bon
https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Audi_A4_quattro_57317897.htm,Audi A4 quattro,Demander le prix,2017,Automatique,Diesel,250000,Audi,A4,5,WW au Maroc,Non,8 CV,Excellent
https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Mercedes_Benz_Vito_57246599.htm,Mercedes-Benz Vito,209 000 DH,2016,Manuelle,Diesel,250000,Mercedes-Benz,Vito,5,WW au Maroc,,9 CV,
https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Touareg_R_line_57300556.htm,Touareg R line,Demander le prix,2020,Automatique,Diesel,140000,Volkswagen,Touareg,5,WW au Maroc,Non,12 CV,Excellent
https://www.avito.ma/fr/oulfa/voitures_d_occasion/Peugeot_208_allure_Automatique_2023_%C3%A0_Casablanca_57324932.htm,Peugeot 208 allure Automatique 2023 à Casablanca,198 000 DH,2023,Automatique,Diesel,80000,Peugeot,208,5,Importée neuve,Oui,6 CV,Excellent
https://www.avito.ma/fr/yacoub_el_mansour/voitures_d_occasion/Honda_CR_V_Essence_Manuelle_2007_%C3%A0_Rabat_57241715.htm,Honda CR-V Essence Manuelle 2007 à Rabat,79 000 DH,2007,Manuelle,Essence,400000,Honda,CR-V,5,WW au Maroc,Oui,11 CV,Très bon
https://www.avito.ma/fr/hay_el_fath/voitures_d_occasion/Kia_Picanto_Essence_Automatique_2022_%C3%A0_Rabat_57259195.htm,Kia Picanto Essence Automatique 2022 à Rabat,135 000 DH,2022,Automatique,Essence,20000,Kia,Picanto,,WW au Maroc,,6 CV,Excellent
https://www.avito.ma/fr/andalous/voitures_d_occasion/SEAT_ATECA_1_6_Diesel_Manuelle_2019_57332999.htm,SEAT ATECA 1.6 Diesel Manuelle 2019,Demander le prix,2019,Manuelle,Diesel,162000,Seat,Ateca,5,Dédouanée,Oui,6 CV,Excellent
https://www.avito.ma/fr/b%C3%A9ni_mellal/voitures_d_occasion/Peugeot_Rifter_Full_options_57339321.htm,Peugeot Rifter Full options,195 000 DH,2022,Manuelle,Diesel,185000,Peugeot,Rifter,5,Importée neuve,Oui,6 CV,Excellent
https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Megane_4_automatique_basma_57332130.htm,Megane 4 automatique basma,157 000 DH,2019,Automatique,Diesel,199000,Renault,Megane,5,WW au Maroc,Non,6 CV,Neuf
